"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 01 10:06:31 UTC 2022","Wed Jun 01 10:06:33 UTC 2022","1500","","C14: The scheduler can add a configuration with certain date for the United States of America country.","","C14: The scheduler can add a configuration with certain date for the United States of America country.","Should click the ""Update Schedule"" button.","Should click the ""Update Schedule"" button.",""
"passed","Wed Jun 01 09:48:37 UTC 2022","Wed Jun 01 09:48:55 UTC 2022","18752","","C21: Filtering configurations by country and region.","","C21: Filtering configurations by country and region.","Should verify that created configuration is displayed after filtering by its country.","Should verify that created configuration is displayed after filtering by its country.",""
"passed","Wed Jun 01 10:05:29 UTC 2022","Wed Jun 01 10:05:33 UTC 2022","4028","","C29: Verify that scheduler can't create empty ""input type"".","","C29: Verify that scheduler can't create empty ""input type"".","Should verify that input without type cannot be created.","Should verify that input without type cannot be created.",""
"passed","Wed Jun 01 09:59:52 UTC 2022","Wed Jun 01 10:00:40 UTC 2022","48378","","C49: Editing an existing project name by a ""Sales Manager""","","C49: Editing an existing project name by a ""Sales Manager""","Should edit existing project name to 5ntelproject","Should edit existing project name to 5ntelproject",""
"passed","Wed Jun 01 10:09:42 UTC 2022","Wed Jun 01 10:09:44 UTC 2022","1525","","C8: The scheduler can add a date for Canada country.","","C8: The scheduler can add a date for Canada country.","Should click the ""Update Schedule"" button.","Should click the ""Update Schedule"" button.",""
"passed","Wed Jun 01 10:00:42 UTC 2022","Wed Jun 01 10:01:18 UTC 2022","35967","","C52: Creating a new project in an available slot without any name and any start date","","C52: Creating a new project in an available slot without any name and any start date","Should verify pop-up errors for reservation with empty input fields.","Should verify pop-up errors for reservation with empty input fields.",""
"passed","Wed Jun 01 10:05:35 UTC 2022","Wed Jun 01 10:05:36 UTC 2022","1422","","C32: The sales manager can't edit the scructure form.","","C32: The sales manager can't edit the scructure form.","Should click the ""Update Form Structure"" button.","Should click the ""Update Form Structure"" button.",""
"passed","Wed Jun 01 09:54:36 UTC 2022","Wed Jun 01 09:55:31 UTC 2022","54957","","C33: The sales manager can't exceed the slot reservation limit","","C33: The sales manager can't exceed the slot reservation limit","Should verify that can't move project projectkv19c1 to date without empty slots","Should verify that can't move project projectkv19c1 to date without empty slots",""
"passed","Wed Jun 01 09:58:35 UTC 2022","Wed Jun 01 09:59:10 UTC 2022","35224","","C40: The scheduler can delete an existing project","","C40: The scheduler can delete an existing project","Should delete created project projectv9abe","Should delete created project projectv9abe",""
"broken","Wed Jun 01 10:04:38 UTC 2022","Wed Jun 01 10:04:58 UTC 2022","20096","","C24: The scheduler can create input field for and existing column with any type.","","C24: The scheduler can create input field for and existing column with any type.","Should add new inputs for created culumn","Should add new inputs for created culumn",""
"passed","Wed Jun 01 10:07:10 UTC 2022","Wed Jun 01 10:07:20 UTC 2022","9697","","C39: After creating first configuration for a region we get all the available slots per weeks for the calendar year.","","C39: After creating first configuration for a region we get all the available slots per weeks for the calendar year.","Should verify that configuration added until the end of this year.","Should verify that configuration added until the end of this year.",""
"passed","Wed Jun 01 09:48:57 UTC 2022","Wed Jun 01 09:49:40 UTC 2022","42539","","C22: Filtering configurations by project type.","","C22: Filtering configurations by project type.","Should verify that only projects with chosen type are displayed.","Should verify that only projects with chosen type are displayed.",""
"passed","Wed Jun 01 09:49:48 UTC 2022","Wed Jun 01 09:49:48 UTC 2022","601","","C4: Login to ""Master Schedule"" application without any credentials","","C4: Login to ""Master Schedule"" application without any credentials","Should leave the ""Email"" and ""Password"" fields empty and click the ""Send"" button.","Should leave the ""Email"" and ""Password"" fields empty and click the ""Send"" button.",""
"passed","Wed Jun 01 09:59:12 UTC 2022","Wed Jun 01 09:59:50 UTC 2022","38312","","C41: The sales manager can't delete an existing project""","","C41: The sales manager can't delete an existing project""","Should verify that ""Sales Manager"" can't delete created project projectgwuea","Should verify that ""Sales Manager"" can't delete created project projectgwuea",""
"passed","Wed Jun 01 10:03:04 UTC 2022","Wed Jun 01 10:03:23 UTC 2022","19047","","C18: The scheduler can create input field for an existing column with ""text"" type.","","C18: The scheduler can create input field for an existing column with ""text"" type.","Should click the ""Update Form Structure"" button.","Should click the ""Update Form Structure"" button.",""
"passed","Wed Jun 01 09:56:30 UTC 2022","Wed Jun 01 09:57:04 UTC 2022","33974","","C35: Creating a new project in an available slot by ""Scheduler""","","C35: Creating a new project in an available slot by ""Scheduler""","Should reserve project for 2022-08-29 configuration with testvj3lq1 slot name.","Should reserve project for 2022-08-29 configuration with testvj3lq1 slot name.",""
